"Borough","MajorCategory","SubCategory","Value","CrimeDate","Region"
"E01000001",1,9,2006,NA,"Unknown"
"E01000001",1,7,2006,NA,"Unknown"
"E01000001",1,8,2006,NA,"Unknown"
"E01000001",1,3,2006,NA,"Unknown"
"E01000001",1,8,2006,NA,"Unknown"
"E01000001",1,2,2006,NA,"Unknown"
"E01000001",1,9,2006,NA,"Unknown"
"E01000001",1,7,2006,NA,"Unknown"
"E01000001",1,11,2006,NA,"Unknown"
"E01000001",1,4,2006,NA,"Unknown"
"E01000001",1,5,2006,NA,"Unknown"
"E01000001",1,8,2006,NA,"Unknown"
"E01000001",1,5,2006,NA,"Unknown"
"E01000001",1,1,2006,NA,"Unknown"
"E01000002",1,11,2006,NA,"Unknown"
"E01000002",1,3,2006,NA,"Unknown"
"E01000002",1,11,2006,NA,"Unknown"
"E01000002",1,7,2006,NA,"Unknown"
"E01000002",1,1,2006,NA,"Unknown"
"E01000002",1,7,2006,NA,"Unknown"
"E01000002",1,10,2006,NA,"Unknown"
"E01000002",1,11,2006,NA,"Unknown"
"E01000003",1,11,2006,NA,"Unknown"
"E01000003",1,4,2006,NA,"Unknown"
"E01000003",1,9,2006,NA,"Unknown"
"E01000003",1,1,2006,NA,"Unknown"
"E01000003",1,11,2006,NA,"Unknown"
"E01000005",1,12,2006,NA,"Unknown"
"E01000005",1,11,2006,NA,"Unknown"
"E01000005",1,3,2006,NA,"Unknown"
"E01000005",1,8,2006,NA,"Unknown"
"E01000005",1,6,2006,NA,"Unknown"
"E01000005",1,11,2006,NA,"Unknown"
"E01000005",1,12,2006,NA,"Unknown"
"E01000005",1,11,2006,NA,"Unknown"
"E01000005",1,1,2006,NA,"Unknown"
"E01000005",1,3,2006,NA,"Unknown"
"E01000005",1,2,2006,NA,"Unknown"
"E01000005",1,1,2006,NA,"Unknown"
"E01000005",1,9,2006,NA,"Unknown"
"E01000005",1,10,2006,NA,"Unknown"
"E01000005",1,6,2006,NA,"Unknown"
"E01000005",1,1,2006,NA,"Unknown"
"E01000006",1,6,2006,NA,"Unknown"
"E01000006",1,1,2006,NA,"Unknown"
"E01000006",1,8,2006,NA,"Unknown"
"E01000006",1,4,2006,NA,"Unknown"
"E01000006",1,11,2006,NA,"Unknown"
"E01000006",1,2,2006,NA,"Unknown"
"E01000006",1,5,2006,NA,"Unknown"
"E01000006",1,4,2006,NA,"Unknown"
"E01000006",1,8,2006,NA,"Unknown"
"E01000006",1,6,2006,NA,"Unknown"
"E01000006",1,4,2006,NA,"Unknown"
"E01000006",1,5,2006,NA,"Unknown"
"E01000006",1,5,2006,NA,"Unknown"
"E01000006",1,6,2006,NA,"Unknown"
"E01000006",1,2,2006,NA,"Unknown"
"E01000006",1,7,2006,NA,"Unknown"
"E01000006",1,8,2006,NA,"Unknown"
"E01000006",1,9,2006,NA,"Unknown"
"E01000006",1,11,2006,NA,"Unknown"
"E01000006",1,11,2006,NA,"Unknown"
"E01000006",1,8,2006,NA,"Unknown"
"E01000006",1,2,2006,NA,"Unknown"
"E01000006",1,5,2006,NA,"Unknown"
"E01000006",1,11,2006,NA,"Unknown"
"E01000006",1,7,2006,NA,"Unknown"
"E01000007",1,3,2006,NA,"Unknown"
"E01000007",1,10,2006,NA,"Unknown"
"E01000007",1,9,2006,NA,"Unknown"
"E01000007",1,1,2006,NA,"Unknown"
"E01000007",1,11,2006,NA,"Unknown"
"E01000007",1,6,2006,NA,"Unknown"
"E01000007",1,5,2006,NA,"Unknown"
"E01000007",1,11,2006,NA,"Unknown"
"E01000007",1,11,2006,NA,"Unknown"
"E01000007",1,5,2006,NA,"Unknown"
"E01000007",1,12,2006,NA,"Unknown"
"E01000007",1,12,2006,NA,"Unknown"
"E01000007",1,2,2006,NA,"Unknown"
"E01000007",1,6,2006,NA,"Unknown"
"E01000007",1,5,2006,NA,"Unknown"
"E01000007",1,3,2006,NA,"Unknown"
"E01000007",1,9,2006,NA,"Unknown"
"E01000007",1,4,2006,NA,"Unknown"
"E01000007",1,3,2006,NA,"Unknown"
"E01000008",1,9,2006,NA,"Unknown"
"E01000008",1,9,2006,NA,"Unknown"
"E01000008",1,11,2006,NA,"Unknown"
"E01000008",1,3,2006,NA,"Unknown"
"E01000008",1,1,2006,NA,"Unknown"
"E01000008",1,8,2006,NA,"Unknown"
"E01000008",1,8,2006,NA,"Unknown"
"E01000008",1,11,2006,NA,"Unknown"
"E01000008",1,8,2006,NA,"Unknown"
"E01000008",1,10,2006,NA,"Unknown"
"E01000008",1,4,2006,NA,"Unknown"
"E01000008",1,2,2006,NA,"Unknown"
"E01000008",1,11,2006,NA,"Unknown"
"E01000008",1,4,2006,NA,"Unknown"
"E01000008",1,5,2006,NA,"Unknown"
"E01000008",1,3,2006,NA,"Unknown"
"E01000008",1,1,2006,NA,"Unknown"
"E01000008",1,5,2006,NA,"Unknown"
"E01000008",1,5,2006,NA,"Unknown"
"E01000008",1,6,2006,NA,"Unknown"
"E01000008",1,6,2006,NA,"Unknown"
"E01000008",1,3,2006,NA,"Unknown"
"E01000008",1,4,2006,NA,"Unknown"
"E01000008",1,11,2006,NA,"Unknown"
"E01000008",1,10,2006,NA,"Unknown"
"E01000008",1,8,2006,NA,"Unknown"
"E01000008",1,12,2006,NA,"Unknown"
"E01000009",1,1,2006,NA,"Unknown"
"E01000009",1,3,2006,NA,"Unknown"
"E01000009",1,10,2006,NA,"Unknown"
"E01000009",1,8,2006,NA,"Unknown"
"E01000009",1,4,2006,NA,"Unknown"
"E01000009",1,4,2006,NA,"Unknown"
"E01000009",1,2,2006,NA,"Unknown"
"E01000009",1,11,2006,NA,"Unknown"
"E01000009",1,4,2006,NA,"Unknown"
"E01000009",1,1,2006,NA,"Unknown"
"E01000009",1,6,2006,NA,"Unknown"
"E01000009",1,11,2006,NA,"Unknown"
"E01000009",1,9,2006,NA,"Unknown"
"E01000009",1,2,2006,NA,"Unknown"
"E01000009",1,6,2006,NA,"Unknown"
"E01000009",1,11,2006,NA,"Unknown"
"E01000009",1,4,2006,NA,"Unknown"
"E01000009",1,9,2006,NA,"Unknown"
"E01000009",1,11,2006,NA,"Unknown"
"E01000009",1,7,2006,NA,"Unknown"
"E01000009",1,7,2006,NA,"Unknown"
"E01000009",1,7,2006,NA,"Unknown"
"E01000009",1,8,2006,NA,"Unknown"
"E01000009",1,8,2006,NA,"Unknown"
"E01000009",1,8,2006,NA,"Unknown"
"E01000010",1,1,2006,NA,"Unknown"
"E01000010",1,12,2006,NA,"Unknown"
"E01000010",1,12,2006,NA,"Unknown"
"E01000010",1,12,2006,NA,"Unknown"
"E01000010",1,8,2006,NA,"Unknown"
"E01000010",1,8,2006,NA,"Unknown"
"E01000010",1,11,2006,NA,"Unknown"
"E01000010",1,10,2006,NA,"Unknown"
"E01000010",1,9,2006,NA,"Unknown"
"E01000010",1,7,2006,NA,"Unknown"
"E01000010",1,12,2006,NA,"Unknown"
"E01000010",1,3,2006,NA,"Unknown"
"E01000010",1,12,2006,NA,"Unknown"
"E01000010",1,11,2006,NA,"Unknown"
"E01000010",1,7,2006,NA,"Unknown"
"E01000010",1,2,2006,NA,"Unknown"
"E01000010",1,9,2006,NA,"Unknown"
"E01000010",1,10,2006,NA,"Unknown"
"E01000010",1,7,2006,NA,"Unknown"
"E01000010",1,11,2006,NA,"Unknown"
"E01000010",1,12,2006,NA,"Unknown"
"E01000010",1,6,2006,NA,"Unknown"
"E01000010",1,6,2006,NA,"Unknown"
"E01000010",1,4,2006,NA,"Unknown"
"E01000010",1,4,2006,NA,"Unknown"
"E01000010",1,9,2006,NA,"Unknown"
"E01000010",1,12,2006,NA,"Unknown"
"E01000010",1,10,2006,NA,"Unknown"
"E01000010",1,7,2006,NA,"Unknown"
"E01000010",1,10,2006,NA,"Unknown"
"E01000011",1,3,2006,NA,"Unknown"
"E01000011",1,7,2006,NA,"Unknown"
"E01000011",1,4,2006,NA,"Unknown"
"E01000011",1,4,2006,NA,"Unknown"
"E01000011",1,5,2006,NA,"Unknown"
"E01000011",1,1,2006,NA,"Unknown"
"E01000011",1,12,2006,NA,"Unknown"
"E01000011",1,1,2006,NA,"Unknown"
"E01000011",1,1,2006,NA,"Unknown"
"E01000011",1,2,2006,NA,"Unknown"
"E01000011",1,12,2006,NA,"Unknown"
"E01000011",1,6,2006,NA,"Unknown"
"E01000011",1,6,2006,NA,"Unknown"
"E01000011",1,2,2006,NA,"Unknown"
"E01000011",1,4,2006,NA,"Unknown"
"E01000011",1,4,2006,NA,"Unknown"
"E01000011",1,9,2006,NA,"Unknown"
"E01000011",1,6,2006,NA,"Unknown"
"E01000011",1,10,2006,NA,"Unknown"
"E01000011",1,12,2006,NA,"Unknown"
"E01000011",1,5,2006,NA,"Unknown"
"E01000012",1,3,2006,NA,"Unknown"
"E01000012",1,8,2006,NA,"Unknown"
"E01000012",1,6,2006,NA,"Unknown"
"E01000012",1,11,2006,NA,"Unknown"
"E01000012",1,8,2006,NA,"Unknown"
"E01000012",1,10,2006,NA,"Unknown"
"E01000012",1,3,2006,NA,"Unknown"
"E01000012",1,5,2006,NA,"Unknown"
"E01000012",1,10,2006,NA,"Unknown"
"E01000012",1,3,2006,NA,"Unknown"
"E01000012",1,1,2006,NA,"Unknown"
"E01000012",1,2,2006,NA,"Unknown"
"E01000012",1,7,2006,NA,"Unknown"
"E01000012",1,4,2006,NA,"Unknown"
"E01000012",1,2,2006,NA,"Unknown"
"E01000012",1,9,2006,NA,"Unknown"
"E01000012",1,8,2006,NA,"Unknown"
"E01000012",1,3,2006,NA,"Unknown"
"E01000012",1,4,2006,NA,"Unknown"
"E01000012",1,12,2006,NA,"Unknown"
"E01000012",1,3,2006,NA,"Unknown"
"E01000012",1,8,2006,NA,"Unknown"
"E01000012",1,2,2006,NA,"Unknown"
"E01000013",1,7,2006,NA,"Unknown"
"E01000013",1,1,2006,NA,"Unknown"
"E01000013",1,4,2006,NA,"Unknown"
"E01000013",1,9,2006,NA,"Unknown"
"E01000013",1,6,2006,NA,"Unknown"
"E01000013",1,11,2006,NA,"Unknown"
"E01000013",1,9,2006,NA,"Unknown"
"E01000013",1,10,2006,NA,"Unknown"
"E01000013",1,8,2006,NA,"Unknown"
"E01000013",1,10,2006,NA,"Unknown"
"E01000013",1,5,2006,NA,"Unknown"
"E01000013",1,6,2006,NA,"Unknown"
"E01000013",1,4,2006,NA,"Unknown"
"E01000013",1,1,2006,NA,"Unknown"
"E01000013",1,8,2006,NA,"Unknown"
"E01000013",1,11,2006,NA,"Unknown"
"E01000013",1,2,2006,NA,"Unknown"
"E01000013",1,9,2006,NA,"Unknown"
"E01000013",1,7,2006,NA,"Unknown"
"E01000013",1,11,2006,NA,"Unknown"
"E01000013",1,12,2006,NA,"Unknown"
"E01000013",1,4,2006,NA,"Unknown"
"E01000013",1,10,2006,NA,"Unknown"
"E01000013",1,11,2006,NA,"Unknown"
"E01000013",1,9,2006,NA,"Unknown"
"E01000013",1,1,2006,NA,"Unknown"
"E01000013",1,4,2006,NA,"Unknown"
"E01000013",1,8,2006,NA,"Unknown"
"E01000014",1,2,2006,NA,"Unknown"
"E01000014",1,1,2006,NA,"Unknown"
"E01000014",1,2,2006,NA,"Unknown"
"E01000014",1,2,2006,NA,"Unknown"
"E01000014",1,7,2006,NA,"Unknown"
"E01000014",1,11,2006,NA,"Unknown"
"E01000014",1,10,2006,NA,"Unknown"
